share_price,shares_offered,dollar_value_of_shares,date_of_priced,employees,shares_outstanding,stock_valuation,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth,1,2,3,4,5
20.0,10000000.0,200000000.0,2013-11-22,1514,36263585.0,725271700.0,21,42917000.0,85710000.0,-147866000.0,175255000.0,89545000.0,468445000.0,-0.7012226931299376,286.6,277.5,290.0,297.0,292.7
13.0,5786000.0,75218000.0,2013-11-22,353,5786000.0,75218000.0,55,3389000.0,24566000.0,681000.0,27531000.0,2966000.0,60887000.0,-0.2541651992522959,20.01,20.31,20.03,20.8,20.22
17.0,7820000.0,132940000.0,2013-12-11,1092,7820000.0,132940000.0,6,47906000.0,88965000.0,34169000.0,117574000.0,28609000.0,381952000.0,0.708278848109726,30.07,29.26,28.5,28.0,27.1
20.0,117640624.0,2352812480.0,2013-12-12,151000,984615364.0,19692307280.0,10,1100000000.0,5288000000.0,352000000.0,9276000000.0,3988000000.0,27066000000.0,0.05613116247295913,44.11,45.34,44.15,44.75,44.79
20.0,36250000.0,725000000.0,2013-12-12,272000,229837345.0,4596746900.0,45,581775000.0,1314007000.0,103551000.0,13505426000.0,12191419000.0,10487354000.0,0.032337319127861856,22.7,23.83,23.7,23.46,24.0
18.0,18421053.0,331578954.0,2013-12-18,19000,18921691.0,340590438.0,65,96678000.0,1512342000.0,-94098000.0,2521977000.0,1009635000.0,3640267000.0,0.06748632191312902,8.05,9.29,10.5,9.85,10.28
43.0,5250000.0,225750000.0,2014-06-06,850,63582416.0,2734043888.0,66,66148000.0,238538000.0,42460000.0,361224000.0,122686000.0,364520000.0,0.8676786896095301,55.0,55.2,60.0,63.5,66.0
19.0,10000000.0,190000000.0,2014-06-12,2129,47269567.0,898121773.0,67,141152000.0,358010000.0,-22218000.0,5307414000.0,4949404000.0,2574781000.0,-0.026503560495965733,20.25,20.2,20.27,21.25,21.79
11.0,7500000.0,82500000.0,2014-06-13,226,23000000.0,253000000.0,53,-19972000.0,10731000.0,-47611000.0,86094000.0,75363000.0,90233000.0,0.35681528060139,10.75,10.63,10.25,10.26,10.53
23.0,4480000.0,103040000.0,2014-06-18,181,21452587.0,493409501.0,52,17860000.0,41482000.0,12379000.0,171133000.0,129651000.0,312639000.0,0.7820785171300635,21.25,21.2,21.0,20.74,21.5
12.0,7315000.0,87780000.0,2014-06-24,1513,7315000.0,87780000.0,18,17618000.0,67869000.0,10662000.0,118127000.0,50258000.0,244403000.0,-0.1593640808135439,14.9,15.26,15.14,15.09,14.97
7.0,8000000.0,56000000.0,2014-06-25,1217,43405940.0,303841580.0,3,17490000.0,86956000.0,11862000.0,229681000.0,142725000.0,338748000.0,0.12410741815654625,8.75,10.01,10.5,10.01,9.75
12.0,8000000.0,96000000.0,2014-06-25,997,8000000.0,96000000.0,18,6091000.0,57231000.0,4702000.0,94696000.0,37465000.0,76736000.0,0.21518857392174728,11.55,11.9,11.92,11.5,13.55
24.0,17800000.0,427200000.0,2014-06-26,718,17800000.0,427200000.0,68,98703000.0,361784000.0,60578000.0,985737000.0,623953000.0,439671000.0,0.8739677120087602,8.08,7.96,8.29,9.31,9.81
17.0,27777778.0,472222226.0,2014-06-27,50200,203103839.0,3452765263.0,69,592000000.0,1765000000.0,200000000.0,4408000000.0,2643000000.0,1555000000.0,0.04703087885985748,17.02,17.05,16.85,16.76,17.03
10.0,1500000.0,15000000.0,2014-07-02,25,5519200.0,55192000.0,3,7687692.0,13494119.0,9476699.0,22518369.0,9024250.0,7417939.0,0.537971244411303,11.05,11.85,11.51,12.89,13.8
6.25,2016000.0,12600000.0,2014-07-16,46,10416000.0,65100000.0,22,2787226.0,8486712.0,1936890.0,11340097.0,2853385.0,6986871.0,0.4756027310648543,9.9,9.0,8.8,8.79,8.75
10.0,4000000.0,40000000.0,2014-07-17,55,11570552.0,115705520.0,61,-857000.0,13020000.0,-3542000.0,22098000.0,9078000.0,9873000.0,0.08053395921959806,9.05,10.0,10.0,10.0,10.0
10.0,7125000.0,71250000.0,2014-07-18,335,26558716.0,265587160.0,70,-6987000.0,15644000.0,-8175000.0,83829000.0,68185000.0,51653000.0,0.5096164235548353,11.4,11.6,11.2,11.16,10.67
10.0,5850000.0,58500000.0,2014-07-18,3322,33345158.0,333451580.0,6,-5699000.0,58721000.0,13769000.0,158324000.0,99603000.0,111747000.0,0.2287561409091262,11.51,11.44,11.02,10.99,10.67
5.0,4080000.0,20400000.0,2014-07-23,1095,10982944.0,54914720.0,18,-127516.0,6199772.0,-177996.0,10472751.0,4272979.0,5772614.0,0.04544682259664299,8.54,8.52,9.14,9.44,9.81
11.0,8333333.0,91666663.0,2014-07-24,2680,8767242.0,96439662.0,71,46150000.0,81430000.0,10111000.0,268578000.0,187148000.0,939203000.0,0.2058131599741398,10.4,10.46,10.51,10.29,10.48
11.0,5000000.0,55000000.0,2014-07-24,146,22501808.0,247519888.0,22,-17966000.0,9781000.0,-18369000.0,17931000.0,8150000.0,21035000.0,2.0583319119904484,12.92,12.65,12.75,12.6,12.56
18.0,19500000.0,351000000.0,2014-07-25,1386,59635126.0,1073432268.0,72,115491000.0,370400000.0,-26116000.0,1845944000.0,1475544000.0,1387558000.0,0.0018599557019012573,17.75,17.5,17.5,17.45,17.0
13.0,5000000.0,65000000.0,2014-07-25,58,20569490.0,267403370.0,3,-12903000.0,0.0,-13317000.0,0.0,0.0,19146000.0,-1.0,13.15,12.84,12.9,12.94,12.86
15.0,7142857.0,107142855.0,2014-07-25,4460,35858407.0,537876105.0,45,42860000.0,82319000.0,-16873000.0,314727000.0,232408000.0,416942000.0,0.07192193726371718,24.03,34.48,29.9,34.56,38.75
16.0,14500000.0,232000000.0,2014-07-25,3700,52748211.0,843971376.0,73,56527000.0,187961000.0,20660000.0,1017102000.0,829141000.0,907739000.0,0.0033005969878353372,16.15,16.0,16.01,15.92,15.54
18.0,3000000.0,54000000.0,2014-07-29,137,3000000.0,54000000.0,74,32829000.0,84064000.0,31412000.0,317090000.0,233026000.0,109073000.0,-0.16348776717265248,8.94,8.66,8.57,8.6,8.75
11.0,5200000.0,57200000.0,2014-08-07,68,19196984.0,211166824.0,22,-19692000.0,266000.0,-20610000.0,266000.0,0.0,31885000.0,13.0,14.32,13.4,13.7,15.16,16.77
11.0,11000000.0,121000000.0,2014-08-08,3650,32037500.0,352412500.0,75,124600000.0,616600000.0,127300000.0,3460300000.0,2843700000.0,1951800000.0,-0.14023405471215244,10.3,10.37,10.39,10.39,10.35
11.0,10000000.0,110000000.0,2014-08-08,238,22855155.0,251406705.0,76,-4712000.0,14385000.0,-1997000.0,42786000.0,28401000.0,184968000.0,1.829200555445348,5.25,5.3,5.16,5.32,4.92
12.0,3000000.0,36000000.0,2014-09-12,63,11370936.0,136451232.0,77,-8745000.0,-429000.0,-12177000.0,1588000.0,2017000.0,11059000.0,0.6337448559670782,640.0,928.75,923.75,842.5,706.25
68.0,320106100.0,21767214800.0,2014-09-19,22072,320106100.0,21767214800.0,27,1730000000.0,3990000000.0,1373000000.0,5553000000.0,1564000000.0,10262000000.0,0.7462264150943396,93.89,89.89,87.17,90.57,88.92
7.0,60158143.0,421107001.0,2014-09-24,12275,1270425548.0,8892978836.0,58,1101000000.0,2410000000.0,819000000.0,6272000000.0,3862000000.0,7973485000.0,-0.03081744027945588,7.16,7.05,7.2,7.15,7.23
16.0,900000.0,14400000.0,2014-09-24,487,31657908.0,506526528.0,18,9079000.0,57081000.0,6635000.0,66157000.0,9076000.0,89632000.0,0.4013938315539739,29.93,31.39,29.8,27.39,32.01
18.0,7000000.0,126000000.0,2014-11-06,114,23543131.0,423776358.0,22,-25151000.0,14027000.0,-26014000.0,23500000.0,9473000.0,75411000.0,0.2947658402203857,25.19,25.3,25.26,25.0,25.1
12.0,3846154.0,46153848.0,2014-11-06,296,14335673.0,172028076.0,18,-4619000.0,27726000.0,-9197000.0,41193000.0,13467000.0,94847000.0,0.8096472345472917,9.75,10.81,11.29,11.19,11.02
15.0,10416667.0,156250005.0,2014-11-07,150,31799037.0,476985555.0,78,-12380676.0,27192941.0,-21687155.0,63150776.0,35957835.0,62617224.0,0.4510927881206985,19.11,18.42,18.51,18.3,18.21
19.5,50000000.0,975000000.0,2014-11-12,12650,229069356.0,4466852442.0,79,24900000.0,1214000000.0,-224900000.0,3986800000.0,2772800000.0,6737100000.0,-0.06342792708137568,20.75,21.5,21.98,22.33,21.88
10.0,11000000.0,110000000.0,2015-05-21,1708,11000000.0,110000000.0,40,-9164000.0,80317000.0,-9641000.0,255387000.0,175070000.0,140637000.0,0.015935969703358647,10.44,11.08,12.78,12.24,11.88
17.0,7700000.0,130900000.0,2015-05-21,632,7700000.0,130900000.0,18,-21615000.0,61795000.0,-22311000.0,105018000.0,43223000.0,95193000.0,1.0898272705563958,25.68,28.31,29.65,27.5,27.45
15.0,9000000.0,135000000.0,2015-07-01,353,39086637.0,586299555.0,77,-45425000.0,15812000.0,-45722000.0,48186000.0,32374000.0,71278000.0,0.3927797207850392,19.25,23.5,24.06,22.28,22.02
9.5,2350000.0,22325000.0,2015-07-01,620,9089998.0,86354981.0,37,10134245.0,31460133.0,4464840.0,126480235.0,95020102.0,84150706.0,0.5759544069561761,13.49,12.45,12.22,12.11,12.0
19.0,8250000.0,156750000.0,2015-07-01,259,37046346.0,703880574.0,80,-15150000.0,33599000.0,-17037000.0,43528000.0,9929000.0,91839000.0,1.186677383703406,28.5,28.0,26.69,27.01,26.25
18.0,10000000.0,180000000.0,2015-07-02,674,48427337.0,871692066.0,61,665000.0,80893000.0,-5152000.0,159289000.0,78396000.0,123623000.0,1.8871871091696728,22.74,22.0,22.0,21.47,21.25
7.0,2858000.0,20006000.0,2015-07-07,2255,1429000.0,10003000.0,1,19437000.0,26281000.0,22671000.0,74578000.0,48297000.0,102969000.0,0.04745853172095114,9.0,9.22,11.5,10.11,10.38
10.0,5300000.0,53000000.0,2015-07-16,852,5300000.0,53000000.0,81,17565232.0,27817886.0,14149905.0,38310243.0,10492358.0,67313863.0,0.7079439307543024,11.08,10.02,9.75,9.98,9.66
15.0,6071429.0,91071435.0,2015-07-17,475,17210426.0,258156390.0,82,18594000.0,37612000.0,19927000.0,177587000.0,139975000.0,96142000.0,0.0961551518742786,15.92,15.11,15.65,15.65,15.67
13.0,5000000.0,65000000.0,2015-07-17,116,16952585.0,220383605.0,6,-1455000.0,22198000.0,-2000000.0,53665000.0,31467000.0,17716000.0,0.3678535926388499,10.95,10.4,10.2,10.29,10.1
9.0,1800000.0,16200000.0,2015-07-31,64,17991689.0,161925201.0,83,835000.0,20634000.0,-1032000.0,20707000.0,73000.0,124484000.0,0.5728826433725788,8.85,8.83,8.8,8.75,8.99
9.0,27000000.0,243000000.0,2015-11-19,1282,27000000.0,243000000.0,18,-150491000.0,226074000.0,-154093000.0,850192000.0,624118000.0,541888000.0,0.5389956791140283,13.07,12.85,12.12,12.02,11.9
16.0,12000000.0,192000000.0,2016-06-10,3200,62458367.0,999333872.0,84,36938000.0,272793000.0,-4955000.0,1729168000.0,1456375000.0,1113799000.0,0.015462422144678472,16.0,16.25,16.07,16.13,16.1
19.0,2400000.0,45600000.0,2016-06-10,1586,19665710.0,373648490.0,1,-49561000.0,14631000.0,-50371000.0,23820000.0,9189000.0,44898000.0,1.8303231939163496,18.98,21.26,21.75,21.55,20.0
5.0,2700000.0,13500000.0,2016-06-14,23,10201919.0,51009595.0,29,-11990000.0,462000.0,-12426000.0,1447000.0,985000.0,11107000.0,15.077777777777778,2.95,2.91,3.17,3.18,3.56
15.0,10000000.0,150000000.0,2016-06-23,567,10000000.0,150000000.0,18,-35393000.0,92465000.0,-35504000.0,166919000.0,74454000.0,157516000.0,0.8787452445805101,28.79,26.3,27.25,29.92,37.08
14.0,4800000.0,67200000.0,2016-07-21,208,17810000.0,249340000.0,85,1601000.0,40846000.0,900000.0,78479000.0,37633000.0,52848000.0,0.2307921521885733,55.3,52.87,55.01,56.36,60.69
11.0,6250000.0,68750000.0,2016-07-22,6000,32799363.0,360792993.0,86,27619000.0,41745000.0,7682000.0,585852000.0,544107000.0,329920000.0,0.8265237087174627,13.56,13.25,13.83,14.31,14.23
12.0,6250000.0,75000000.0,2016-07-27,138,44870332.0,538443984.0,3,-139853000.0,29714000.0,-147082000.0,35719000.0,6005000.0,84137000.0,-0.6240817529310236,9.7,9.6,8.95,9.57,9.74
10.0,4000000.0,40000000.0,2016-07-28,275,16649017.0,166490170.0,22,3451000.0,45964000.0,1393000.0,62872000.0,16908000.0,36973000.0,0.31707725825372884,11.08,11.26,12.07,13.16,13.65
18.0,5250000.0,94500000.0,2016-07-29,566,5250000.0,94500000.0,18,-21445000.0,57252000.0,-22006000.0,75960000.0,18708000.0,48061000.0,0.21378693213595185,25.5,26.02,25.85,25.52,25.78
15.0,8667000.0,130005000.0,2016-08-04,2941,59503727.0,892555905.0,62,46303000.0,162116000.0,-436000.0,497733000.0,335617000.0,968315000.0,0.2321160691741384,24.46,26.4,28.21,28.25,29.12
23.0,7000000.0,161000000.0,2016-08-11,2300,39642113.0,911768599.0,87,20562000.0,156394000.0,-8673000.0,359059000.0,202665000.0,984041000.0,0.0999638511402208,28.04,29.22,29.32,28.14,27.77
8.0,1500000.0,12000000.0,2016-08-12,48,7237615.0,57900920.0,8,-330701.0,11644910.0,-270342.0,27793073.0,16148163.0,15260414.0,0.08951545717819177,8.0,8.3,8.11,8.2,9.2
12.0,7500000.0,90000000.0,2016-09-16,430,26923604.0,323083248.0,18,-10787000.0,38931000.0,-10824000.0,58720000.0,19789000.0,53509000.0,0.3842200796775182,15.25,16.5,17.01,17.55,16.86
17.0,8333333.0,141666661.0,2016-09-22,231,44379833.0,754457161.0,88,25571000.0,100329000.0,4357000.0,191413000.0,91084000.0,361072000.0,0.3205996798763661,25.78,26.08,26.33,27.41,28.72
4.5,1713190.0,7709355.0,2016-09-28,393,21098660.0,94943970.0,31,6502418.0,10347507.0,7280278.0,32630502.0,22282995.0,52132124.0,0.04284715969301455,259.9191,147.45600000000002,100.71,82.17,63.72
12.0,4300000.0,51600000.0,2016-09-29,204,15584558.0,187014696.0,27,6165000.0,20911000.0,-2864000.0,70039000.0,49128000.0,58602000.0,0.4462501032460561,14.88,14.32,14.93,14.5,13.45
9.0,4200000.0,37800000.0,2016-09-29,55,17046256.0,153416304.0,61,-5012000.0,4507000.0,-8314000.0,9576000.0,5069000.0,5832000.0,6.492957746478872,92.34,94.56,109.56,97.2,102.29
16.0,14870000.0,237920000.0,2016-09-30,1980,14870000.0,237920000.0,18,-118765000.0,140473000.0,-126127000.0,241432000.0,100959000.0,249831000.0,0.8991402298488913,27.27,25.72,27.12,27.01,27.7
10.0,19250000.0,192500000.0,2016-11-02,573,19250000.0,192500000.0,44,-187000.0,29050000.0,-15182000.0,108358000.0,79308000.0,789743000.0,0.4353954166114717,10.41,10.4,10.0,9.74,9.74
11.0,11700000.0,128700000.0,2016-11-04,97,34238712.0,376625832.0,89,16583000.0,26695000.0,4990000.0,47698000.0,21003000.0,132564000.0,-0.300308053395922,10.99,11.07,11.07,11.58,11.57
7.0,2400000.0,16800000.0,2016-12-07,103,9783158.0,68482106.0,84,306526.0,2288034.0,-33339.0,6846759.0,4558725.0,4783132.0,0.3163543219161964,9.0,8.6,8.87,8.18,7.93
9.0,5877778.0,52900002.0,2016-12-09,530,23727787.0,213550083.0,17,12601000.0,48554000.0,5626000.0,290641000.0,242087000.0,198023000.0,0.16682524579765304,9.77,10.44,10.63,10.2,11.12
11.0,26110118.0,287211298.0,2016-12-16,1183,30026635.0,330292985.0,6,-52002000.0,532439000.0,-42504000.0,535640000.0,3200000.0,825870000.0,0.4310140312256217,11.85,12.15,11.81,11.8,11.71
20.0,77000000.0,1540000000.0,2017-02-01,907,302116760.0,6042335200.0,90,190777000.0,531767000.0,-78239000.0,922587000.0,390820000.0,9732351000.0,0.1035082871936932,20.0,20.23,20.63,20.73,20.8
14.0,35000000.0,490000000.0,2017-02-01,67800,35000000.0,490000000.0,1,290677000.0,513173000.0,371847000.0,3301864000.0,2788691000.0,7062470000.0,-0.2306322566634488,13.25,13.0,13.27,13.38,13.41
13.5,5700000.0,76950000.0,2017-02-10,180,17012755.0,229672192.5,30,25797000.0,49823000.0,-3735000.0,93005000.0,43182000.0,905208000.0,0.09929790553638126,13.5,13.5,13.51,13.58,13.5
17.0,200000000.0,3400000000.0,2017-03-02,1859,661834416.0,11251185072.0,44,-520385000.0,-47178000.0,-514643000.0,404482000.0,451660000.0,1722792000.0,5.895010483609773,24.48,27.09,23.77,21.44,22.81
13.0,11666667.0,151666671.0,2017-03-09,3801,43747944.0,568723272.0,91,14158000.0,362692000.0,-6155000.0,562015000.0,199323000.0,582032000.0,0.16262929251137775,63.25,64.75,65.5,64.5,62.7
19.0,16200000.0,307800000.0,2017-03-15,23500,16200000.0,307800000.0,92,575000000.0,1228000000.0,-74000000.0,7014000000.0,5786000000.0,10846000000.0,0.2418555240793201,22.91,22.55,22.01,21.53,21.27
14.0,25000000.0,350000000.0,2017-03-17,642,83039854.0,1162557956.0,2,-44857000.0,32780000.0,-53147000.0,436920000.0,404140000.0,541422000.0,-0.23295963259588004,14.5,14.36,14.05,14.0,14.05
14.0,9000000.0,126000000.0,2017-03-24,424,9000000.0,126000000.0,18,-23022000.0,69764000.0,-24258000.0,85790000.0,16026000.0,111415000.0,0.5939874770071162,15.5,15.23,14.93,15.01,15.03
6.5,12400000.0,80600000.0,2017-04-06,540,39499745.0,256748342.5,93,47804000.0,179997000.0,-22373000.0,580441000.0,400444000.0,570181000.0,0.3374031695414349,7.76,7.4,7.68,7.73,7.7
19.0,28947000.0,549993000.0,2017-04-06,19300,90508890.0,1719668910.0,94,290400000.0,2326800000.0,156900000.0,4045700000.0,1718900000.0,3054600000.0,0.021796231752285698,19.0,19.0,19.31,18.69,18.96
11.0,10500000.0,115500000.0,2017-04-13,630,85489470.0,940384170.0,6,-26138000.0,58691000.0,-26495000.0,89724000.0,31033000.0,85497000.0,0.4953501549948335,13.41,13.55,14.01,14.04,13.81
19.0,16666667.0,316666673.0,2017-04-13,1130,53442532.0,1015408108.0,95,-101100000.0,27932000.0,-111489000.0,369017000.0,341085000.0,947631000.0,-0.3225727099331232,20.21,20.43,20.36,19.63,19.79
14.0,8700000.0,121800000.0,2017-04-21,1700,12777970.0,178891580.0,2,-298973000.0,-44128000.0,-307524000.0,302399000.0,346527000.0,405066000.0,-0.4353771726567795,14.02,15.28,15.82,16.0,15.72
21.0,8823500.0,185293500.0,2017-04-27,4391,92358577.0,1939530117.0,96,69129000.0,429262000.0,43039000.0,1050759000.0,621497000.0,831166000.0,0.340233312755417,32.05,32.4,33.54,33.51,36.36
15.0,15000000.0,225000000.0,2017-04-28,1067,15000000.0,225000000.0,97,-89479000.0,19197000.0,-93112000.0,365148000.0,345951000.0,335833000.0,1.800386526780784,11.1,10.77,10.1,8.72,9.98
17.0,9500000.0,161500000.0,2017-04-28,197,45325225.0,770528825.0,2,-17982000.0,44646000.0,-17927000.0,98479000.0,53833000.0,326827000.0,-0.13618700934169553,400.2,409.0,410.2,414.2,400.6
17.0,15500000.0,263500000.0,2017-04-28,430,72202207.0,1227437519.0,27,100400000.0,239300000.0,22200000.0,323700000.0,84400000.0,1572500000.0,0.0564621409921671,19.5,19.6,19.81,19.87,20.3
8.0,7000000.0,56000000.0,2017-07-20,27,26600000.0,212800000.0,58,-12109000.0,199000.0,-12086000.0,399000.0,200000.0,16623000.0,-0.6863207547169812,11.25,10.81,10.82,10.75,10.44
16.0,6250000.0,100000000.0,2017-07-21,202,12285083.0,196561328.0,98,702000.0,32547000.0,0.0,200162000.0,167615000.0,81330000.0,-0.026861201728840427,33.54,34.39,35.44,36.02,37.05
5.0,1400000.0,7000000.0,2017-07-28,95,10599000.0,52995000.0,99,1394427.0,4540948.0,2433720.0,12279721.0,7738773.0,17591424.0,0.7597125298104654,8.93,8.66,7.85,8.0,10.5689
15.0,9231000.0,138465000.0,2017-07-28,2193,79536768.0,1193051520.0,49,-22784000.0,82744000.0,-22526000.0,267196000.0,184452000.0,133477000.0,0.4262776372118844,21.7,24.13,26.48,31.06,27.2
5.0,1068346.0,5341730.0,2017-09-01,347,13500000.0,67500000.0,100,7616021.0,11475776.0,5249537.0,36809094.0,25333318.0,45550956.0,0.052122144869380584,8.45,9.49,10.27,8.86,8.32
26.0,12770000.0,332020000.0,2017-09-20,2781,67182110.0,1746734860.0,28,35087000.0,284487000.0,17797000.0,411162000.0,126675000.0,353710000.0,-0.025014761293871868,31.78,30.84,32.16,31.89,32.01
4.25,1325000.0,5631250.0,2017-09-21,220,9225000.0,39206250.0,101,1151289.0,7075487.0,1009171.0,24443736.0,17368249.0,13239919.0,0.4984873353647689,6.41,12.75,10.45,10.3,10.87
13.0,8500000.0,110500000.0,2017-09-22,544,8500000.0,110500000.0,102,-4206000.0,57579000.0,-6397000.0,373239000.0,315660000.0,150488000.0,0.3904104485952064,10.0,10.75,10.32,9.37,8.64
18.5,7800000.0,144300000.0,2017-09-27,4434,7800000.0,144300000.0,1,7551000.0,16897000.0,6505000.0,108513000.0,91616000.0,104410000.0,0.3096261073161312,25.9,24.95,28.5,31.14,29.44
14.0,15668000.0,219352000.0,2017-09-28,696,15668000.0,219352000.0,103,-43361000.0,121045000.0,-42758000.0,398649000.0,277604000.0,179078000.0,0.2463350809893171,23.5,26.54,23.56,20.81,20.85
17.5,29000000.0,507500000.0,2017-09-29,2949,135219726.0,2366345205.0,104,81539000.0,254092000.0,-79746000.0,1064177000.0,810085000.0,4259671000.0,1.7365528768884604,17.32,17.64,17.35,17.7,17.65
19.0,46000000.0,874000000.0,2017-11-01,3258,119205298.0,2264900662.0,105,143933086.0,264152521.0,81314569.0,1221762345.0,957609825.0,566319523.0,1.0093769797323366,21.35,21.51,21.5,21.63,21.19
13.0,12000000.0,156000000.0,2017-11-01,2400,21387512.0,278037656.0,18,-176409000.0,18784000.0,-181693000.0,89422000.0,70638000.0,250776000.0,-0.6959769352902978,18.31,17.41,19.37,18.97,19.51
12.0,10416666.0,124999992.0,2017-11-02,472,23337705.0,280052460.0,106,44147000.0,146321000.0,26880000.0,426717000.0,280396000.0,522237000.0,0.5570430860845959,7.07,7.0,7.75,8.2,8.1
18.0,27777777.0,499999986.0,2017-11-02,4000,113282257.0,2039080626.0,107,30189000.0,333065000.0,11639000.0,1137196000.0,804131000.0,1296231000.0,0.0718496162930763,20.88,20.32,20.4,20.26,20.3
5.6,2000000.0,11200000.0,2017-11-03,187,12702546.0,71134257.6,108,3490000.0,13329000.0,1031000.0,27371000.0,14042000.0,44467000.0,-0.12289303339101455,6.05,5.6,5.6,5.6,5.6
13.0,45000000.0,585000000.0,2017-11-09,2315,45000000.0,585000000.0,109,71622000.0,357672000.0,56112000.0,660408000.0,302736000.0,524818000.0,0.1159254008512968,13.5,13.85,13.82,13.0,12.69
20.0,4000000.0,80000000.0,2017-11-10,338,4034840.0,80696800.0,18,15244000.0,66917000.0,22358000.0,152135000.0,85218000.0,69973000.0,0.10401956444437994,21.19,20.3,20.09,20.04,20.0
8.0,22500000.0,180000000.0,2017-11-16,669,22500000.0,180000000.0,44,-26234000.0,41687000.0,-26207000.0,51282000.0,9595000.0,19351000.0,0.9777854911489068,67.2,57.6,59.2,52.8,46.0
12.0,20000000.0,240000000.0,2017-11-17,765,85554305.0,1026651660.0,18,2729000.0,95374000.0,-3173000.0,132412000.0,37038000.0,387410000.0,0.3886069046520408,13.0,13.09,13.57,15.1,15.8
14.0,6498648.0,90981072.0,2017-11-17,5729,74734455.0,1046282370.0,49,70966000.0,489172000.0,77877000.0,628707000.0,139535000.0,1128632000.0,0.17886172764040895,13.0,13.29,13.85,14.22,14.25
5.0,2800000.0,14000000.0,2017-11-29,223,22340000.0,111700000.0,110,8189030.0,14053041.0,4103521.0,32424269.0,18371228.0,62660999.0,0.8651388232408497,10.57,10.1,8.56,11.24,10.0
7.0,1000000.0,7000000.0,2017-11-30,43,9465410.0,66257870.0,1,-1286254.0,7412077.0,-2061983.0,20371826.0,12959749.0,19120378.0,5.0320216268713285,7.98,6.88,7.3241,6.9,7.249
14.0,11000000.0,154000000.0,2018-04-12,933,11000000.0,154000000.0,18,-39033000.0,64846000.0,-39098000.0,113008000.0,48162000.0,120468000.0,0.2258960340189187,20.0,20.6,20.6,19.55,19.56
5.0,1306055.0,6530275.0,2018-04-18,109,21410000.0,107050000.0,109,5714405.0,9079062.0,3899891.0,12427743.0,3348681.0,24746076.0,0.8056118670729523,15.62,15.74,15.66,15.31,16.61
15.0,35000000.0,525000000.0,2018-04-19,1310,302225923.0,4533388845.0,64,31755000.0,87717000.0,7983000.0,550771000.0,463054000.0,1199103000.0,0.2575742699725776,14.45,15.5,16.21,15.53,15.7
16.0,6000000.0,96000000.0,2018-04-26,1071,33621147.0,537938352.0,17,9798000.0,44274000.0,1837000.0,138580000.0,94306000.0,110148000.0,0.3676782630150506,26.95,25.01,24.93,26.87,29.08
22.0,21000000.0,462000000.0,2018-04-26,4212,133166413.0,2929661086.0,18,55400000.0,269500000.0,3300000.0,676200000.0,406700000.0,6729900000.0,0.0846968238691049,84.28,80.95,85.37,85.29,88.06
29.0,21700000.0,629300000.0,2018-04-27,2255,152109033.0,4411161957.0,18,-115817000.0,278982000.0,-115412000.0,381459000.0,102477000.0,499638000.0,0.5229059289926182,39.73,38.63,39.45,39.32,41.96
16.0,6750000.0,108000000.0,2018-05-03,121,20240719.0,323851504.0,22,-16003000.0,22549000.0,-17511000.0,28567000.0,6018000.0,25091000.0,0.739027211298472,24.98,24.47,24.05,24.14,24.05
7.03,6000000.0,42180000.0,2018-05-04,47,32025788.0,225141289.64,3,-39139726.0,0.0,-39891978.0,0.0,0.0,51333722.0,-1.0,5.61,5.48,6.27,6.25,6.25
12.0,11250000.0,135000000.0,2018-05-04,1856,11250000.0,135000000.0,111,43104000.0,90971000.0,26040000.0,568212000.0,477241000.0,328550000.0,0.04769086949867889,12.1,12.05,12.05,12.02,12.0
12.0,15000000.0,180000000.0,2018-05-11,818,15000000.0,180000000.0,44,-14568000.0,39151000.0,-12434000.0,335506000.0,296355000.0,199715000.0,1.925813850057992,16.06,18.38,19.0,22.5,20.0
15.0,20700000.0,310500000.0,2018-05-17,890,59815846.0,897237690.0,44,-82746000.0,116996000.0,-96536000.0,166824000.0,49828000.0,236420000.0,0.26534234418731656,20.0,20.88,20.01,19.95,21.3
16.0,14000000.0,224000000.0,2018-05-23,2000,15141970.0,242271520.0,27,45163000.0,340270000.0,-40242000.0,504750000.0,164480000.0,1508298000.0,0.2040188826418524,19.02,19.5,19.88,19.86,20.57
23.0,38000000.0,874000000.0,2018-05-24,949,51836157.0,1192231611.0,27,145599000.0,236179000.0,138668000.0,325887000.0,89708000.0,462889000.0,0.2350520152350634,23.36,24.77,24.95,25.73,26.77
5.25,2000000.0,10500000.0,2018-05-24,1606,13290000.0,69772500.0,18,1605093.0,12692164.0,2047445.0,31361976.0,18669812.0,13521923.0,0.08054657051786272,4.27,3.82,4.17,3.96,4.44
12.0,7352941.0,88235292.0,2018-06-14,3411,29946471.0,359357652.0,112,32495000.0,84160000.0,12788000.0,430369000.0,346209000.0,377651000.0,0.6236173359288937,12.0,11.7,11.39,10.94,10.95
16.0,18056000.0,288896000.0,2018-06-14,9288,32191905.0,515070480.0,94,28608000.0,727287000.0,-4060000.0,1555385000.0,828098000.0,820571000.0,0.07178861704583432,16.68,16.62,16.1,15.11,15.79
17.0,7200000.0,122400000.0,2018-06-15,8431,7200000.0,122400000.0,1,-49056000.0,74972000.0,-61012000.0,196954000.0,121981000.0,308414000.0,2.116558010000633,21.0,28.8,30.0,26.11,21.36
